"1KI.2.1", "Afei David ne nda bɛɛn dɛ obowu; na ɔhyɛɛ ne ba Solomon, dɛ,", ""
"1KI.2.2", "Morokɔ asaase do nkorɔfo nyinara kwan no: dɛm ntsi hyɛ dzen, na yɛ woho ɔbarimba;", ""
"1KI.2.3", "na sie EWURADZE wo Nyankopɔn n’ahwɛdodze no, dɛ ebɛnantsew n’akwan mu, dɛ ibesie n’ahyɛdze, na ne mbransɛm, na n’atsɛmbu, na ne dasesɛm, dɛ mbrɛ dza wɔakyerɛw no wɔ Moses mbra no mu tse no, ama aayɛ prɔmprɔm wɔ dza eyɛ nyinara mu, na beebiara so a edan woho fa:", ""
"1KI.2.4", "ama EWURADZE aama n’asɛm a ɔkae no wɔ mo ho no etsim, dɛ, Sɛ wo mba hwɛ hɔn kwan yie, dɛ wɔdze hɔn akoma nyinara na hɔn kra nyinara bɛnantsew m’enyim nokwar mu a, ɔnodze (ɔse dɛ) Israel ahengua do nyimpa rommbɔ wo da.", ""
"1KI.2.5", "Nkyii so ɔwoara nyim dza Zeruia ba Joab so dze yɛɛ me, mekyerɛ dza ɔdze yɛɛ Israel dɔm mu asafohemfo beenu no, Ner ne ba Abner, na Jeter ne ba Amasa a okunkum hɔn na ɔkaa ɔsa mu bɔgya gui wɔ asomdwee ber mu, na ɔdze ɔsa mu bɔgya kekaa n’abɔdo a ɔbɔ n’asen ho, na ne mpaboa a ɔhyɛ n’anan ho no mu.", ""
"1KI.2.6", "Dɛm ntsi yɛ no dɛ mbrɛ wo nyansaa tse, na mma mma ne tsigon nnsian nnkɔ adakamona mu asomdwee mu.", ""
"1KI.2.7", "Mbom Gileadnyi Barzillai ne mba no na kyerɛ ayamuyie wɔ hɔn do, na ma wɔmfora hɔn a wodzidzi wo pon do no mu. Osiandɛ wɔyɛɛ me ayamuyie wɔ aber a mifii wo nua Absalom enyim muguanee no.", ""
"1KI.2.8", "Na afei hwɛ, Benjaminnyi Simei, Gera ne ba no a ofi Bahurim no wɔ wo nkyɛn, ɔno na ɔdze ndom yerɛyerɛw doom me da no a mokɔr Mahanaim no: naaso ekyir no osianee behyiaa me kwan wɔ Jordan do, na medze EWURADZE kaa ntam kyerɛɛ no, dɛ, Emi mara dze meremmfa afona munnku wo.", ""
"1KI.2.9", "Dɛm ntsi afei mma ɔmmfa noho tɔtrɔtɔ, na ɔwoara yɛ onyansafo yi, ibohu dza ɔsɛ dɛ edze yɛ no, na ama ne tsigon dze bɔgya eesian akɔ adakamona mu.", ""
"1KI.2.10", "Nna afei David kɛkaa n’egyanom ho wɔ nsamankyir, na wosiee no wɔ David kurow no mu.", ""
"1KI.2.11", "Na nda a David dze dzii Israel do hen yɛ mfe eduanan: odzii hen mfe esuon wɔ Hebron, na odzii hen mfe eduasa ebiasa wɔ Jerusalɛm.", ""
"1KI.2.12", "Na Solomon tsenaa n’egya David n’ahengua do; na n’ahendzi tsiim dzendzenndzen.", ""
"1KI.2.13", "Nna Hagit ne ba Adonija baa Solomon ne na Bat-seba nkyɛn. Na Bat-seba bisaa no dɛ, Eba no asomdwee mu anaa? Na obuaa dɛ, Asomdwee mu a.", ""
"1KI.2.14", "Afei Adonija see dɛ, Mowɔ asɛm bi ka kyerɛ wo. Na ɔsee dɛ, Ka ɛ.", ""
"1KI.2.15", "Na Adonija see dɛ, Ɔwoara inyim dɛ ahendzi no yɛ medze, na Israel nyinara dze hɔn enyi sii mo do dɛ mara na mibedzi hen: naaso ahendzi no adan, na ɔakɛyɛ mo nua dze: na EWURADZE na ɔama ɔayɛ nedze.", ""
"1KI.2.16", "Na afei ebisadze kor pɛ na miribisa no wo hɔ, mma nnkam me. Na ɔsee no dɛ, Ka ɛ.", ""
"1KI.2.17", "Na Adonija see dɛ, Meserɛ wo, ka kyerɛ ɔhen Solomon, (na ɔrennse wo dɛ oho,) ma ɔmfa Sunamnyi Abisag mma me ayewar.", ""
"1KI.2.18", "Na Bat-seba see dɛ, Oye; mebɛka akyerɛ ɔhen ama wo.", ""
"1KI.2.19", "Dɛm ntsi Bat-seba sii mu kɔr ɔhen Solomon nkyɛn, dɛ ɔrekɛkasa akyerɛ no ama Adonija. Na ɔhen no soɛree kehyiaa no, na ɔbɔɔ no mu adze maa no, na ɔkɛtsenaa n’ahengua do, na ɔmaa wɔdze ahengua besii hɔ maa ne na; na ɔtsenaa do wɔ n’enyimfa.", ""
"1KI.2.20", "Nna Bat-seba see no dɛ, Ebisadze ketseabaa bi na miribebisa wɔ wo hɔ; mma nnkam me. Na ɔhen no see no dɛ, Me na, bisa ɛ: na merennkam wo.", ""
"1KI.2.21", "Na ɔsee dɛ, Ma wɔmfa Sunamnyi Abisag mma wo nua Adonija ayewar.", ""
"1KI.2.22", "Na ɔhen Solomon buae na ɔsee ne na dɛ, Na ɔyɛ dɛn ntsi na iribisa Sunamnyi Abisag ama Adonija? Bisa ahendzi no so ma no ɛ; na ɔno nye mo nua panyin; bisa ma ɔno, na ɔsɔfo Abiathar, na Zeruia ba Joab.", ""
"1KI.2.23", "Nna ɔhen Solomon dze EWURADZE kaa ntam, dɛ, Nyankopɔn nyɛ me dɛm, na bi so nka ho, se Adonija nnkaa asɛm yi nntsiaa nankasa no nkwa a.", ""
"1KI.2.24", "Dɛm ntsi afei dɛ EWURADZE a oetsintsim me, na ɔdze me atsena m’egya David n’ahengua do, na ɔdze ama menye m’asefo dɛ mbrɛ ɔbɔɔ anohoba no, tse ase yi, ampa woboku Adonija ndɛ da yi.", ""
"1KI.2.25", "Na ɔhen Solomon nam Jehoiada ne ba Benaia ne nsa do somae; na okotui hyɛɛ no do, ma owui.", ""
"1KI.2.26", "Na ɔhen no see ɔsɔfo Abiathar dɛ, Kɔ wankasa wo haban mu, wɔ Anathot; na efata owu dze naaso murunnku wo, osiandɛ ɔwo na esoaa EWURADZE Nyankopɔn n’adakaa no wɔ m’egya David enyim, na ihun amandze wɔ dza m’egya hun mu amandze no nyinara mu.", ""
"1KI.2.27", "Nna Solomon paam Abiathar dɛ ɔnnyɛ ɔsɔfo mma EWURADZE bio; ama ɔaahyɛ EWURADZE n’asɛm a ɔkae no wɔ Eli fi ho wɔ Siloh no ma.", ""
"1KI.2.28", "Na amandzɛɛ no dur Joab nkyɛn: na kaansa Joab ɔanndan ennkedzi Absalom ekyir mpo a, ɔadan ekedzi Adonija ekyir. Na Joab guanee kɔr EWURADZE no Buw no mu, na okosuoo afɔrmbukyia no ne mmbɛn mu.", ""
"1KI.2.29", "Na wɔkaa kyerɛɛ ɔhen Solomon dɛ, Joab eguan kɔ EWURADZE no Buw no mu, na hwɛ, ɔwɔ afɔrmbukyia no ho. Nna Solomon somaa Jehoiada ne ba Benaia dɛ, Kɔ, kotu hyɛ no do.", ""
"1KI.2.30", "Na Benaia kɔr EWURADZE no Buw no mu, na ɔkɛsee no dɛ, Mbrɛ ɔhen se nye yi, Pue bra. Na ɔsee dɛ, Dabida; mubowu ha ara. Na Benaia dze asɛm brɛɛ ɔhen bio, dɛ, Mbrɛ Joab se nye yi, na mbrɛ oebua me nye yi.", ""
"1KI.2.31", "Na ɔhen no see no dɛ, Yɛ dɛ mbrɛ ɔase no ara, na tu hyɛ no do, na sie no; ama eeyi bɔgya a Joab kae guu gyan no efi emi na m’egya fie do.", ""
