"2SA.14.1", "Afei Zeruia ba Joab hun dɛ ɔhen no n’akoma wɔ Absalom ho.", ""
"2SA.14.2", "Na Joab somaa ma wɔkɔr Tekoa, na wɔkɛfaa ɔbaa onyansafo bi fi hɔ bae, na ɔsee no dɛ, Meserɛ wo, petuw ara yɛ woho dɛ eyiyɛnyi, na hyɛ eyiyɛ atar, na mma mmfa ngo nnsera woho, na yɛ dɛ ɔbaa a ogyaam ewufo akyɛr:", ""
"2SA.14.3", "na kɔ ɔhen no nkyɛn, na kɛka dɛm nsɛm yi kyerɛ no. Nna Joab dze nsɛm hyɛɛ n’ano.", ""
"2SA.14.4", "Na aber a ɔbaa no a ofi Tekoa no baa ɔhen no nkyɛn no, ɔdze n’enyim boom famu, na ɔyɛɛ enyidzi, na ɔsee dɛ, Ao ɔhen, boa me.", ""
"2SA.14.5", "Na ɔhen no see no dɛ, Ebɛnadze na ɔyɛ wo? Na obuaa dɛ, Ampa meyɛ ɔbaa kunafo, na mo kun ewu.", ""
"2SA.14.6", "Na w’afonabaa wɔ mbabanyin beenu, na hɔn beenu no dzii aperper wɔ haban mu, na obi nnyi hɔ a ɔpata hɔn, na ɔbaako bɔɔ ɔbaako no, ma ɔtɔree.", ""
"2SA.14.7", "Na, hwɛ, ebusua no nyina asoɛr wɔ w’afonabaa do, na wɔse dɛ, Yi nyia ɔbɔɔ no nua no ma, ma yenku no wɔ no nua no a okum no no nkwa ntsi, na dɛm na yɛbɛsɛɛ ɔdzedzifo no so: na wɔdze dɛm rubodum me gyansenama a aka no, na woenngyaa dzin anaa okyirkafo so amma mo kun wɔ asaase yi do.", ""
"2SA.14.8", "Na ɔhen no see ɔbaa no dɛ, Kɔ wo fie, na mebɛhyɛ mbra wɔ wo ho.", ""
"2SA.14.9", "Na ɔbaa no a ofi Tekoa no see ɔhen no dɛ, Mo wura ɔhen, asodzi no nda mo do, na m’egya ne fi do: na ɔhen na n’ahengua no ndzi bem.", ""
"2SA.14.10", "Na ɔhen no see dɛ, Obiara se wo biribiara a, fa no brɛ me, na ɔrennka wo bio.", ""
"2SA.14.11", "Nna ɔsee dɛ, Meserɛ wo, wɔmma ɔhen nkaa EWURADZE wo Nyankopɔn, amma bɔgya ho werdzifo no aannsɛɛ obi bio, ɔno bɛyɛ na wɔaasɛɛ me ba a ɔka no. Na ɔsee dɛ, Dɛ EWURADZE tse ase yi, wo ba no nhwi kor mpo ronntɔ famu.", ""
"2SA.14.12", "Nna ɔbaa no see dɛ, Meserɛ wo, ma w’afonabaa nka asɛm kor nkyerɛ mo wura ɔhen. Na ɔsee dɛ, Ka ɛ.", ""
"2SA.14.13", "Na ɔbaa no see dɛ, Ɔyɛ dɛn ntsi na esusu dɛm adze yi etsia Nyankopɔn ne man yi? Osiandɛ asɛm yi ne nkaa mu no ɔhen yɛ dɛ obi a odzi fɔ, ɔhen rennkɛfa ne nyimpa a wɔapam no no mmba fie bio.", ""
"2SA.14.14", "Na owu ara na yebowu, na yɛtse dɛ nsu a woehue egu famu a wɔboaboa ano bio a ɔnnyɛ; nkyii so Nyankopɔn nnyi nkwa, mbom osusu ɔkwan, ama nyia wɔapam no no aannyɛ ɔkwankwannyi na oemmfi ne nkyɛn.", ""
"2SA.14.15", "Dɛm ntsi afei ɔnam dɛ maba dɛ merebɛka asɛm yi akyerɛ mo wura ɔhen no, nna ne siantsir nye dɛ ɔman no ayɛ me ma musuro: na w’afonabaa see dɛ, afei mebɛkasa makyerɛ ɔhen; annyɛ a ɔhen bɛyɛ n’abaawa n’ebisadze no.", ""
"2SA.14.16", "Osiandɛ ɔhen betsie na oeyi n’abaawa efi nyimpa no a ɔpɛ dɛ ɔsɛɛ emi na me ba nyina fi Nyankopɔn egyapadze ho no ne nsamu.", ""
"2SA.14.17", "Nna w’afonabaa see dɛ, Meserɛ wo, wɔmma mo wura ɔhen n’asɛm nyɛ awerɛkyekyer: na dɛ mbrɛ Nyankopɔn no bɔfoe tse no, dɛmara so na mo wura ɔhen tse, dɛ ohu papa na bɔn mu: na EWURADZE wo Nyankopɔn ndzi w’ekyir.", ""
"2SA.14.18", "Nna ɔhen no buae see ɔbaa no dɛ, Meserɛ wo, mma nnsiw me biribiara a mibebisa wo no do. Na ɔbaa no see dɛ, Wɔmma afei mo wura ɔhen nkasa ɛ.", ""
