"2SA.10.1", "Iyi ekyir no ɔbaa dɛ Ammonmba hɔn hen no wui, na ne ba Hanun bedzii hen wɔ n’ananmu.", ""
"2SA.10.2", "Na David see dɛ, Mebɛyɛ Nahas ba Hanun ayamuyie, dɛ mbrɛ n’egya yɛɛ me ayamuyie no. Nna David dze duaa no nkowaa do somaa dɛ wɔnkɛkyekye no werɛ wɔ n’egya ho. Na David no nkowaa no baa Ammonmba asaase no do.", ""
"2SA.10.3", "Nna Ammonmba asafohemfo no see hɔn wura Hanun dɛ, Ana edwen dɛ David dzi w’egya nyi ntsi na ɔasoma akyekyewerɛfo wɔ wo nkyɛn yi? Ana David annsoma no nkowaa wɔ wo nkyɛn dɛ wɔmbɔhwehwɛ kurow yi mu, na wɔnserasera mu, na wombutuw no bi a?", ""
"2SA.10.4", "Nna Hanun faa David no nkowaa no, na oyiyii hɔn mbɔdwesa fa fa, na otwitwaa hɔn ntar mu finimfin finimfin araa dze bodur hɔn nserɛ ekyir, na ogyaa hɔn kwan.", ""
"2SA.10.5", "Na wɔbɛkaa kyerɛɛ David no, ɔsomae ma wokehyiaa hɔn kwan; osiandɛ woegu mbarimba no enyim ase kɛse. Na ɔhen no see dɛ, Hom ntsintsim wɔ Jeriko ma onkodu dɛ hom mbɔdwesa bofuw ana nkyii hom asan aba.", ""
"2SA.10.6", "Na aber a Ammonmba no hun dɛ hɔn ho abɔn David no, Ammonmba no somaa ma wɔkɔbɔɔ Siriafo a wɔwɔ Bɛt-rehob na Zoba paa, anamɔnmufo mpemeduonu na Maakahen no nye mbarimba apem, na Tobfo mbarimba mpemduebien.", ""
"2SA.10.7", "Na David tsee no, ɔsomaa Joab, na mbarimba akatakyi dɔm no nyinara ma wɔkɔree.", ""
"2SA.10.8", "Na Ammonmba no puei, na wɔbaabaa mpasuar wɔ kuropon no n’ahɛnee: na Zoba, Rehob Siriafo, Tob na Maaka mbarimba no, nko gyinae wɔ haban no mu.", ""
"2SA.10.9", "Afei aber a Joab hun dɛ ɔko no wɔ n’enyim na n’ekyir no, ɔpaa Israel mu mbarimba a wɔasan mu eyi hɔn no mu bi, na ɔmaa wɔkɔree kehyiaa Siriafo no:", ""
"2SA.10.10", "na nkorɔfo nkaa no, ɔdze hɔn hyɛɛ no nua Abishai nsa, na ɔmaa wokehyiaa Ammonmba no.", ""
"2SA.10.11", "Na ɔsee dɛ, Sɛ Siriafo no yɛ dzen dodow ma me a, ɔno bɔboa me: na sɛ Ammonmba no yɛ dzen dodow ma wo a, ɔno mebɛba mabɔboa wo.", ""
"2SA.10.12", "Nya akokodur, na ma yɛnyɛ hɛnho mbarimba mma hɛn man, na hɛn Nyankopɔn no nkurow no: na EWURADZE nyɛ dza oye wɔ n’enyiwa do.", ""
"2SA.10.13", "Nna Joab na nkorɔfo a wɔka no ho no twee pinii nye Siriafo no dze bɔɔ enyim: na woguanee wɔ n’enyim.", ""
"2SA.10.14", "Na aber a Ammonmba no hun dɛ Siriafo no eguan no, nna hɔn so woguanee wɔ Abishai n’enyim, na wɔkɛhɛɛn kurow no mu. Nna Joab fii Ammonmba no ho sanee, na ɔbaa Jerusalɛm.", ""
"2SA.10.15", "Na aber a Siriafo no hun dɛ woegu wɔ Israel enyim no, wɔpoon hɔnho hyiae.", ""
"2SA.10.16", "Na Hadadezer somae ma wɔkɛfaa Siriafo no a wɔwɔ Esutsen no egya no puei bae: na wɔbaa Helam, dɛ Hadadezer no dɔm safohen panyin Sobak na odzi hɔn enyim.", ""
"2SA.10.17", "Na wɔbɛkaa kyerɛɛ David; na ɔpoon Israel nyinara hyiae, na okotwaa Jordan kɔr Helam. Na Siriafo no baa mpasuar hyiaa David, na wɔnye no koe.", ""
"2SA.10.18", "Na Siriafo no guanee wɔ Israel enyim; na David kunkum Siriafo no ntseaseanam ahaesuon mu nyimpa, na mpɔnkɔdofo mpemeduanan, na ɔkaa hɔn dɔm safohen panyin Sobak gya, ma owui wɔ hɔ.", ""
"2SA.10.19", "Na aber a ahemfo a wɔyɛ nkowaa ma Hadadezer no nyinara hun dɛ woegu wɔ Israel enyim no, wɔnye Israel siesiei, na wɔsoom hɔn. Nna Siriafo no suroo dɛ wɔbɔboa Ammonmba no bio.", ""
