"ROM.10.1", "Enuanom, m'akoma mu apɛdze pa ara na mo nkotoserɛ a meserɛ Nyankopɔn ma hɔn nye dɛ, wobenya nkwa.", ""
"ROM.10.2", "Na midzi hɔn dase dɛ wɔwɔ Nyankopɔn ho mbɔdzembɔ, na mbom wonnyi ho nyimdzee.", ""
"ROM.10.3", "Na ɔnam dɛ wonnyim Nyankopɔn ne tsenenee, na wɔhwehwɛ dɛ wɔdze hɔnankasa hɔndze si hɔ ntsi, wɔammbrɛ hɔnho adze annhyɛ Nyankopɔn tsenenee no ase.", ""
"ROM.10.4", "Na Kraest nye mbra no n'ewiei a ɔdze obiara a ɔgye dzi kɔ tsenenee mu.", ""
"ROM.10.5", "Na Moses kyerɛw dɛ nyimpa a ɔyɛ tsenenee a ofi mbra no mu no na obenya mu nkwa.", "#Lev 18.5"
"ROM.10.6", "Na mbrɛ tsenenee a ofi gyedzi mu no ka nye yi, Mma nnse wɔ w'akoma mu dɛ, Woana bɔfow akɔ sor? (Ɔno nye dɛ, ɔrekɛfa Kraest esian:)", "#Deut 30.12-14"
"ROM.10.7", "anaadɛ, Woana besian akɔ bun no mu? (Ɔno nye dɛ, ɔrekɛfa Kraest efi ewufo mu aba).", ""
"ROM.10.8", "Na ɔka dɛn? Asɛm no abɛn wo, ɔwɔ w'anomu, ɔwɔ w'akoma mu: (Ɔno nye gyedzi asɛm a yɛbɔ no dawur no,)", ""
"ROM.10.9", "dɛ, Sɛ edze w'ano paa mu ka dɛ Jesus nye Ewuradze, na egye dzi wɔ w'akoma mu dɛ Nyankopɔn nyaan no fii ewufo mu a, wɔbɛgye wo nkwa:", ""
"ROM.10.10", "na akoma na wɔdze gye dzi kɔ tsenenee mu, na ano na wɔdze paa mu ka kɔ nkwagye mu.", ""
"ROM.10.11", "Na kyerɛw no ka dɛ obiara a ɔbɛgye no edzi no n'enyim runngu ase.", "#Isa 28.16"
"ROM.10.12", "Na soronko biara nnyi Jewnyi nye Griiknyi ntamu: na Ewuradze kor no ara na odzi hɔn nyina do, na ɔyɛ ɔhonyanyi ma hɔn a wɔfrɛ no nyina:", ""
"ROM.10.13", "na, Obiara a ɔbɔbɔ Ewuradze dzin no obenya nkwa.", "#Joel 2.32"
"ROM.10.14", "Na wɔbɛyɛ dɛn afrɛ nyia wɔnngyee no nndzii? Na wɔbɛyɛ dɛn agye nyia wɔnntsee no ho asɛm edzi? Na sɛ ɔsɛnkafo nnyi hɔ a, wɔbɛyɛ dɛn atse?", ""
"ROM.10.15", "Na sɛ wɔnnsomaa hɔn a, wɔbɛyɛ dɛn abɔ asɛm no dawur? Dɛ mbrɛ wɔakyerɛw no dɛ, Hɔn a wɔdze ndzepa ho asɛmpa ba no, mbrɛ hɔn anan dua yɛ fɛw a!", "#Isa 52.7"
"ROM.10.16", "Na hɔn nyinara enntsie asɛmpa no. Na Isaia se dɛ, Ewuradze, woana na ɔagye hɛn amandzɛɛ edzi?", "#Isa 53.1"
"ROM.10.17", "Nna gyedzi no fi otsie mu, na otsie nam Kraest asɛm do na ɔba.", ""
"ROM.10.18", "Na mese, Ana wɔanntse koraa? Nyew, ampa, Hɔn ndze epuei akɔ asaase nyina do, Na hɔn asɛm edu wiadze ano noho.", "#Dwom 19.4"
"ROM.10.19", "Mibisa bio dɛ, Ana Israel anntse ase? Moses dzi kan ka dɛ, Medze hɔn a wɔnnyɛ ɔman beyi hom nyinkun, Ɔman a wonnyi ntseasee na medze beyi hom ebufuw.", "#Deut 32.21"
"ROM.10.20", "Isaia so dze ndamyɛ papa ka dɛ, Hɔn a wɔannhwehwɛ me, ehu me; Meyi moho akyerɛ hɔn a woemmbisa m'ekyir kwan.", "#Isa 65.1"
"ROM.10.21", "Na Israel dze, ɔka kyerɛ hɔn dɛ, Adzekyee tsentsen nyina metserɛɛw me nsamu maa ɔman asokyewfo nye nyiyianofo.", ""
