"NUM.15.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"NUM.15.2", "Kasa kyerɛ Israelmba, na se hɔn dɛ, Sɛ hom du hom tsenabew asaase a medze rema hom no do,", ""
"NUM.15.3", "na wɔrobɔ ogya afɔr ama EWURADZE, ɔhyew afɔr, anaa okum afɔr, dze ahyɛ anohoba bi ma, anaa dɛ ayamuyi afɔr, anaa hom afahyɛ a wɔahyɛ no mu, dze eyi nka huanhuam ama EWURADZE a ofi anantwi, anaa nguan mu a:", ""
"NUM.15.4", "ɔno nyia ɔdze n’ayɛyɛdze ba no, ɔmfa edziban afɔr isiam pa efa ebupɛn du mu kor nka ngo  hin   ebupɛn anan mu kor ho mbrɛ EWURADZE:", ""
"NUM.15.5", "na ɔnom afɔr wenyin,  hin   ebupɛn anan mu kor, na fa ka ɔhyew afɔr, anaa okum afɔr eguambaa kor ho siesie.", ""
"NUM.15.6", "Na oguannyin dze, fa isiam pa efa ebupɛn du mu ebien a wɔdze ngo  hin   ebupɛn ebiasa mu kor afrɔw, siesie yɛ edziban afɔr:", ""
"NUM.15.7", "na ɔnom afɔr no fa wenyin  hin   ebupɛn ebiasa mu kor bra, ma onyi nka huanhuam mma EWURADZE.", ""
"NUM.15.8", "Na sɛ ɔnantwisaa na irisiesie abɔ ɔhyew afɔr, anaa okum afɔr, dze ahyɛ anohoba bi ma, anaa edze robɔbɔ asomdwee afɔr ama EWURADZE a:", ""
"NUM.15.9", "ɔno edziban afɔr a ɔmfa nka ɔnantwisaa no ho nye isiam pa efa ebupɛn du mu ebiasa a wɔdze ngo  hin   ɔfa afrɔw.", ""
"NUM.15.10", "Na fa wenyin  hin   ɔfa yɛ ɔnom afɔr no bra bɔbɔ ogya afɔr a oyi nka huanhuam ma EWURADZE.", ""
"NUM.15.11", "Dɛm na wɔnyɛ ɔnantwisaa kor, anaa oguannyin kor, anaa nguambaanyin no, anaa mpɔnkyemba no nkorkor.", ""
"NUM.15.12", "Dɛ mbrɛ dodow a hom besiesie no tse no, dɛmara na hom nyɛ no nkorkor dɛ mbrɛ hɔn dodow tse.", ""
"NUM.15.13", "Ekuromfo nyinara nyɛ ndzɛmba yi dɛm mfa mbɔ ogya afɔr a oyi nka huanhuam mma EWURADZE.", ""
"NUM.15.14", "Na sɛ ɔhɔho bi soɛ hom mu, anaa obiara a ɔwɔ hom mu wɔ hom ebusuasantsen nyina mu no, na ɔbɔbɔ ogya afɔr a oyi nka huanhuam ama EWURADZE no; dɛ mbrɛ hom yɛ no, dɛmara so na ɔnyɛ.", ""
"NUM.15.15", "Bagua no, ahyɛdze kor na ɔnda hɔ mma hom na ɔhɔho a ɔbɔsoɛ hom mu no, ɔnyɛ daa ahyɛdze wɔ hom ebusuasantsen nyina mu: dɛ mbrɛ hom tse no, dɛmara so na ɔhɔho no nyɛ wɔ EWURADZE enyim.", ""
"NUM.15.16", "Mbra kor nye ɔmom kor na ɔnda hɔ mma hom, nye ɔhɔho a ɔabɔsoɛ hom mu nyina.", ""
"NUM.15.17", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"NUM.15.18", "Kasa kyerɛ Israelmba, na se hɔn dɛ, Sɛ hom du asaase a medze hom rokɔ do no do a,", ""
