"NUM.6.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"NUM.6.2", "Kasa kyerɛ Israelmba, na se hɔn dɛ, Sɛ ɔbanyin anaa ɔbaa bi bɔ anohoba soronko, Nazirinyi anohoba, dɛ orutu noho dze ama EWURADZE a:", ""
"NUM.6.3", "ɔnkam noho wɔ wenyin nye nsa dzendzen ho: mma ɔnnom wenyin kawee, anaa nsa dzendzen kawee, nkyii so mma ɔnnom esikyireamba nsa biara, na onndzi esikyireamba momon anaa guanee so.", ""
"NUM.6.4", "Noho nkamee nda nyinara mu mma onndzi biribiara a wɔdze wenyindua ho biribi ayɛ, no nsowee mu aba o, no ho ahon o.", ""
"NUM.6.5", "Noho nkamee anohoba nda nyinara mu no mma oyindam bi nnka ne tsir: ɔnyɛ krɔnkrɔn nkodu dɛ nda a ɔkaam noho maa EWURADZE wɔ mu no bɔso, onsie etsimum.", ""
"NUM.6.6", "Nda a ɔakam noho ama EWURADZE no nyinara mma ɔnnkɔ nyimpa bi fun ho.", ""
"NUM.6.7", "Sɛ n’egya, anaa ne na, no nua anaa n’akyerɛbaa mpo wuwu a, mma onnkogu noho fi: osiandɛ noho nkamee a ɔdze ma Nyankopɔn no wɔ n’etsifi.", ""
"NUM.6.8", "Noho nkamee nda nyinara ɔyɛ krɔnkrɔn ma EWURADZE.", ""
"NUM.6.9", "Na sɛ nyimpa bi wu awerɛfir mu wɔ ne nkyɛn, na ogu noho nkamee tsir ho fi a; ɔno da a otsia esuon no onyi ne tsir wɔ n’ahoguar da no mu.", ""
"NUM.6.10", "Na da a otsia awɔtwe no ɔmfa ntamram ebien, anaa mborɔnomamba ebien, mbrɛ ɔsɔfo no, wɔ ehyiadzibuw no n’abowano:", ""
"NUM.6.11", "na ɔsɔfo no mfa kor mbɔ bɔn ho afɔr, na kor no so ɔmfa nyɛ ɔhyew afɔr, na ɔmpata mma no, dɛ ɔafom wɔ fun no ho, na ɔntsew ne tsir ho da no ara.", ""
"NUM.6.12", "Na ɔnsan nkam noho mma EWURADZE, na ɔmfa eguambaanyin a oedzi afrenhyia mbra mbɔbɔ asodzi ho afɔr: mbom nkan no nda no ayɛ kwa, osiandɛ noho nkamee no ho egu fi.", ""
"NUM.6.13", "Na iyi nye Nazirinyi ho mbra, aber a noho nkamee nda ewie du no: wɔmfa no mbra ehyiadzibuw no n’abowano:", ""
"NUM.6.14", "na ɔmfa ayɛyɛdze mbrɛ EWURADZE, eguambaanyin a oedzi afrenhyia a onndzii dzɛm kor mbɔbɔ ɔhyew afɔr, na eguambaaber a oedzi afrenhyia a onndzii dzɛm kor mbɔbɔ bɔn ho afɔr, nye oguannyin a onndzii dzɛm kor mbɔbɔ asomdwee afɔr,", ""
"NUM.6.15", "nye epitsi boodoo kɛntsɛn no, nye isiam pa tatar a wɔdze ngo afrɔw, nye epitsi tatar ntrɛtraba a wɔdze ngo egu do, nye n’edziban afɔr, nye no nom afɔr.", ""
"NUM.6.16", "Na ɔsɔfo no mfa mbra EWURADZE enyim, na ɔmbɔ no bɔn ho afɔr, nye ne hyew afɔr:", ""
"NUM.6.17", "na ɔmfa oguannyin no mbɔ asomdwee afɔr mma EWURADZE, nka epitsi boodoo kɛntsɛn no ho: ɔsɔfo no mbɔ n’edziban afɔr, nye no nom afɔr no so.", ""
"NUM.6.18", "Na Nazirinyi no nyi ne tsir no wɔ ehyiadzibuw no n’abowano, na ɔmfa ne tsinhwi no ngu ogya no a ɔwɔ asomdwee afɔr ase no mu.", ""
"NUM.6.19", "Na oeyi ne tsir no ekyir no, ɔsɔfo no mfa oguannyin abasa a wɔanoa, nye kɛntsɛn no mu epitsi tatar kor, na epitsi tatar ntrɛtraba kor ngu Nazirinyi no nsamu,", ""
"NUM.6.20", "na ɔsɔfo no ntow no ɔtow afɔr wɔ EWURADZE enyim; iyi yɛ krɔnkrɔn ma ɔsɔfo no dze ka ɔtow nyan nye ohim aserɛ no ho: na ɔno ekyir no Nazirinyi no nnom wenyin.", ""
"NUM.6.21", "Iyi nye mbra a ɔwɔ hɔ ma Nazirinyi na mbom sɛ ɔbɔ anohoba bi ka dza Nazirinyi yɛ no ho a, otwar dɛ ɔpon dɛm anohoba no ka dza noho nkamee nhyehyɛɛ no kyerɛ no.", ""
"NUM.6.22", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"NUM.6.23", "Kasa kyerɛ Aaron nye ne mbabanyin no dɛ, Mbrɛ hom nsi nhyira Israelmba no nye yi; hom nse hɔn dɛ,", ""
"NUM.6.24", "EWURADZE nhyira wo, na ɔnhwɛ wo do:", ""
"NUM.6.25", "EWURADZE ntsew n’enyim nkyerɛ wo, na ɔndom wo:", ""
"NUM.6.26", "EWURADZE mma n’enyi do nhwɛ wo, na ɔmma wo asomdwee.", ""
"NUM.6.27", "Na wɔmfa me dzin nto Israelmba do dɛm; na mibehyira hɔn.", ""
