"NUM.22.1", "Na Israelmba no tui, na wɔkɛkyeer nsera wɔ Moab tɛtɛr mu wɔ Jeriko Jordan egya.", ""
"NUM.22.2", "Na Zipor ne babanyin Balak hun dza Israel ayɛ Amorifo no nyinara.", ""
"NUM.22.3", "Na Moab suroo ɔman no dodow, osiandɛ wɔdɔɔ so: na nketsenketse kitsaa hɔn wɔ Israelmba no ntsi.", ""
"NUM.22.4", "Na Moab see Midian mpanyimfo dɛ, Afei nyimpadodow yi bɛsɛɛ dza etwa ehyia hɛn ho nyinara, dɛ mbrɛ ɔnantwi we haban mu efuw. Na Zipor ne babanyin Balak nna aber no mu ɔyɛ Moabhen.", ""
"NUM.22.5", "Na ɔsomaa abɔfo ma wɔkɔr Beor ne babanyin Balaam hɔ, wɔ Petor a ɔwɔ Esutsen no ho wɔ ne man mba asaase do dɛ wonkehyia no, dɛ, Hwɛ, ɔman bi efi Egypt aba: hwɛ, wɔkata asaase enyi, na wogu me tsentsendo:", ""
"NUM.22.6", "dɛm ntsi afei, meserɛ wo, bra bɛpaa ɔman yi ma me; na wɔyɛ dzen dodow ma me: dɛ bi a mibedzi nyim, ma meekuku hɔn, na maapam hɔn mefi asaase no do: na minyim dɛ nyia ɔwo ihyira no no woehyira no, na nyia ɔwo edom no no wɔadom no.", ""
"NUM.22.7", "Na Moab mpanyin nye Midian mpanyin no sii mu dze ebisa no ho akatua no wɔ hɔn nsamu kɔree; na wɔbaa Balaam hɔ, na wɔbɛkaa Balak ne nsɛm no kyerɛɛ no.", ""
"NUM.22.8", "Na ɔsee hɔn dɛ, Hom nsoɛ ha anadwe yi, na mebɛbrɛ hom mbuae, dɛ mbrɛ EWURADZE bɛka akyerɛ me no: na Moab mbapɔmba no nye Balaam tsenae.", ""
"NUM.22.9", "Na Nyankopɔn baa Balaam nkyɛn, na ɔsee dɛ, Mbanyin bɛn na wɔnye wo wɔ hɔ yi?", ""
"NUM.22.10", "Na Balaam see Nyankopɔn dɛ, Zipor ne babanyin Balak, Moabhen no, na ɔasoma ma wɔaba mo hɔ dɛ,", ""
"NUM.22.11", "Hwɛ, ɔman a woefi Egypt aba no, akata asaase enyi: afei, bra bɛpaa hɔn ma me; dɛ bi a mubotum menye hɔn ako, na mapam hɔn.", ""
"NUM.22.12", "Na Nyankopɔn see Balaam dɛ, Mma nnye hɔn nnkɔ, mma mmpaa ɔman no: na woehyira hɔn.", ""
"NUM.22.13", "Na Balaam soɛɛr anapa no, na ɔsee Balak mbapɔmba no dɛ, Hom nkɔ hom asaase do: na EWURADZE mmpen dɛ ɔbɛma me kwan ma menye hom akɔ.", ""
"NUM.22.14", "Na Moab mbapɔmba no soɛree, na wɔbaa Balak nkyɛn, na wɔsee dɛ, Balaam ammpen dɛ ɔnye hɛn bɛba.", ""
"NUM.22.15", "Na Balak somaa mbapɔmba a wɔdɔɔ so, na hɔn enyim wɔ nyam sen hɔn so bio.", ""
"NUM.22.16", "Na wɔbaa Balaam nkyɛn, na wɔsee no dɛ, Mbrɛ Zipor babanyin Balak se nye yi, Mepa wo kyɛw, mma biribi nnsiw wo me nkyɛn ba ho kwan:", ""
