"1TH.3.1", "Dɛm ntsi yenntum nnhyɛ hɛn ho do bio no, yɛdween dɛ oye dɛ wogya hɛn nko ekyir wɔ Atens;", "#Ndwu 17.15"
"1TH.3.2", "na yɛsomaa Timoti a ɔyɛ hɛn nua nye nyɛnkodwumayɛnyi ma Nyankopɔn wɔ Kraest asɛmpa no mu no dɛ ɔmbɛhyɛ hom dzen, na ɔnkyekye hom werɛ wɔ gyedzi no ho;", ""
"1TH.3.3", "amma amandzehu yi eennhihim obiara; na homankasa nyim dɛ woeyi hɛn ato hɔ ama dɛm.", ""
"1TH.3.4", "Na yɛwɔ hom nkyɛn no yɛkaa kyerɛɛ hom siee dɛ yebohu amandze; dɛ mbrɛ ɔbaa mu, na hom nyim no.", ""
"1TH.3.5", "Iyi ntsi na mo so munntum nnhyɛ moho do bio no, mosomae ma meehu hom gyedzi amma bi a ɔgyegyefo no aanngyegye hom na hɛn mbɔdzembɔ aannyɛ kwa.", ""
"1TH.3.6", "Na afei Timoti fi hom nkyɛn baa hɛn nkyɛn bɛkaa hom gyedzi nye hom dɔ ho nsɛm pa kyerɛɛ hɛn. Na ɔkaa dɛ hom kaa hɛn yie daa, na hom pɛ dɛ hom hu hɛn dɛ mbrɛ hɛn so yɛafe hom na yɛpɛ dɛ yehu hom no kyerɛɛ hɛn.", "#Ndwu 18.5"
"1TH.3.7", "Iyi ntsi enuanom, hɛn werɛ kyekye wɔ hom nyina ho, wɔ hɛn amandzehu nye hɛn ahohia nyina mu, wɔ hom gyedzi ntsi.", ""
"1TH.3.8", "Na afei sɛ hom gyina pintsinn wɔ Ewuradze mu a, yeenya nkwa.", ""
"1TH.3.9", "Na hom ho ndaase bɛn na yebotum ada Nyankopɔn bio, wɔ dɛw nyina a yedzi wɔ hom ntsi wɔ Nyankopɔn enyim;", ""
"1TH.3.10", "dɛ adzesaa nye adzekyee yɛreserɛ pii dɛ yembohu hom enyim ma yaabɛhyɛ dza aka wɔ hom gyedzi mu no ma?", ""
"1TH.3.11", "Na hɛn Nyankopɔn a ɔnoara nye Egya no, nye hɛn Ewuradze Jesus Kraest ntsen hɛn kwan mbra hom nkyɛn.", ""
"1TH.3.12", "Na Ewuradze mma hom ndɔɔ so na hom mbor do wɔ dɔ mu mma homho nkorkor, nye nyimpa nyina, dɛ mbrɛ hɛn so yɛyɛ ma hom no;", ""
"1TH.3.13", "na ɔaahyɛ hom akoma dzen, dɛ afɔbu nnyi mu, krɔnkrɔnyɛ mu wɔ hɛn Nyankopɔn nye Egya no enyim, wɔ hɛn Ewuradze Jesus Kraest nye n’ahotseweefo hɔn ba mu.", ""
