"ACT.9.1", "Na Saul da ho ara retseetsee na ɔrehyɛ Ewuradze n'esuafo no amen no, ɔkɔr ɔsɔfopanyin ne nkyɛn,", ""
"ACT.9.2", "na okebisaa no hɔ tum nwoma dɛ ɔdze rokɔ Damaskɔs akɔ nhyiamudan no mu, ama sɛ ohu binom a wɔwɔ Ɔkwan no mu a, mbarimba o, mbaa o, ɔaakyekyer hɔn dze hɔn aaba Jerusalɛm.", ""
"ACT.9.3", "Na ɔnam na ɔbɛɛn Damaskɔs no, awerɛfir mu ara kan fii sor bɛhyerɛnee twaa no ho hyiae;", ""
"ACT.9.4", "na ɔhwee daadze, na ɔtsee ndze bi a ɔsee no dɛ, Saul, Saul, ɔyɛ dɛn na eretseetsee me yi?", ""
"ACT.9.5", "Na ɔsee dɛ, Woana nye wo, Ewuradze? Na ɔsee dɛ, Emi nye Jesus a etaa no do no:", ""
"ACT.9.6", "na soɛr kɔ kurow no mu, na wɔbɛka dza ɔsɛ wo dɛ eyɛ akyerɛ wo.", ""
"ACT.9.7", "Na mbarimba a wɔnye no nam no totɔɔ mmum gyinagyinaa hɔ, osiandɛ wɔtsee ndze dze, naaso woennhu obiara.", ""
"ACT.9.8", "Na Saul soɛree fii famu, na n'enyi do tsetsewee no, oennhu obiara, na wosusuoo ne nsa dze no baa Damaskɔs.", ""
"ACT.9.9", "Na ndaansa nna onnhu adze, eso onndzidzi na ɔnnom.", ""
"ACT.9.10", "Nna osuanyi bi wɔ Damaskɔs a ne dzin dze Ananias; ɔno na Ewuradze kaa kyerɛɛ no wɔ enyido adzehu mu dɛ, Ananias. Na ɔsee dɛ, Emi nye yi, Ewuradze.", ""
"ACT.9.11", "Na Ewuradze see no dɛ, Soɛr kɔ ɔbrɔn a wɔfrɛ no Tɔɔtsen no mu, na kebisa wɔ Judas fie obi a ne dzin dze Saul a ofi Tarsus no n'ekyir kwan, na hwɛ, ɔrosɔr,", ""
"ACT.9.12", "na oehu n'enyiwa do dɛ ɔbarimba a ne dzin dze Ananias reba ne nkyɛn, na ɔdze ne nsa ato no do dɛ onhu adze.", ""
