"1PE.2.1", "Dɛm ntsi hom nyiyi emumuyɛ nye ndaadaa, nye ndabraba, nye nyitan, nye anokumdzi nyina ntow ngu,", ""
"1PE.2.2", "na hom kɔn ndɔ asɛm no numfonsu krɔnkrɔn no dɛ mbɔdomaba a wɔawo hom fofor, na hom eenyin wɔ mu akɔ nkwa mu.", ""
"1PE.2.3", "Sɛ hom asɔ ahwɛ dɛ Ewuradze yɛ adom a:", "#Dwom 34.8"
"1PE.2.4", "nna hom mbra no hɔ, dɛ ɔbo a nkwa wɔ mu a nyimpa apow, naaso Nyankopɔn dze ɔasan mu eyi, na ɔsom bo no.", ""
"1PE.2.5", "Hom so wɔtse dɛ ɔbo a nkwa wɔ mu a wɔtow hom sunsum mu dan, asɔfokuw krɔnkrɔn a wɔbɔ sunsum mu afɔr a ɔnam Jesus Kraest do sɔ Nyankopɔn enyi.", ""
"1PE.2.6", "Osiandɛ wɔakyerɛw no kyerɛwsɛm no mu dɛ, Hwɛ moroto kutuwdo bo wɔ Zion, ɔbo a wɔasan mu eyi, ɔsom bo: Na obiara a ɔgye no dzi no, n’enyim nnkogu ase.", ""
"1PE.2.7", "Ntsi hom a hom gye no dzi no, ɔsom hom bo, na hɔn a wonntsie no dze, Ɔbo a adantofo powee no, Ɔno na ɔabɛyɛ kutuwdo bo;", ""
"1PE.2.8", "nye, Fintsiw bo, nye ntotoananmu botan ama hɔn. Wofintsiw asɛm no do, osiandɛ wɔyɛ asokyewfo; na ɔno so ntsi na woyii hɔn mae.", "#Isa 8.14, 15"
"1PE.2.9", "Na hom dze, hom yɛ ebusuakuw a wɔasan mu eyi hom, asɔfokuw adehye, ɔman krɔnkrɔn, nkorɔfo a Nyankopɔn enya hɔn ayɛ nankasa nedze, dɛ hom mfa nyia oyii hom fii sum mu baa n’anwanwa kan mu no ne nkamfo no nkyerɛ.", "#Eks 19.5, 6; Isa 43.20; Eks 19.5; Deut 4.20; 7.6; 14.2; Tit 2.14; Isa 43.21; Isa 9.2"
"1PE.2.10", "Hom a nkyɛ nkan no hom nnyɛ ɔman naaso afei dze hom ayɛ Nyankopɔn ne man; hom ennya ehumbɔbɔr, na afei dze hom enya ehumbɔbɔr.", "#Hos 2.23"
"1PE.2.11", "Adɔfo, mototɔ serɛ hom dɛ ahɔho nye amamforafo, hom nyi homho mfi honam akɔndɔdze a ɔnye ɔkra ko no ho;", ""
"1PE.2.12", "na hom mbɔ ɔbra pa wɔ amanaman mu; na dza wɔkasa tsia hom wɔ mu dɛ ndzebɔnyɛfo no, wɔhwɛ hom ndzeyɛe pa no a, wɔaahyɛ Nyankopɔn enyimnyam wɔ da a ɔbɛba abɛsera hom no mu.", ""
"1PE.2.13", "Hom mbrɛ homho adze mma nyimpa tumdzi nyina wɔ Ewuradze ntsi, ɔhempɔn a ɔyɛ abɔso o;", ""
"1PE.2.14", "ambradofo a ɔsoma hɔn ma wɔtsea ndzebɔnyɛfo, na woyi apapafo so ayɛw o.", ""
"1PE.2.15", "Na dɛm nye Nyankopɔn ne pɛ dɛ hom dze papayɛ siw nyia n’adwen yɛ har no ne nkwaseasɛm ano:", ""
"1PE.2.16", "dɛ hom tse hom ase, na hom mmfa hom fahodzi nnyɛ bɔnyɛ do nkatado, na mbom dɛ Nyankopɔn no nkowaa.", ""
"1PE.2.17", "Hom ndzi nyimpa nyina nyi. Hom ndodɔ enuanom. Hom nsuro Nyankopɔn. Hom ndzi ɔhen nyi.", ""
"1PE.2.18", "Nkowaa, hom mfa suro nyina mbrɛ homho adze mma hom wuranom, nnyɛ hɔn a woye na wɔdwe nko, na hɔn a wɔhyɛ hom amen so.", ""
"1PE.2.19", "Na sɛ ɔnam Nyankopɔn ntsi, obi nya awerɛhow, hu amandze a ɔmmfa kwan mu, na ɔsɔw ne nyina a, iyi nye enyimnyam no.", ""
"1PE.2.20", "Na enyimnyam bɛn na ɔyɛ, dɛ hom fom, na wɔbobɔ hom ekutuku, na hom dze abotar gye? Na mbom sɛ hom yɛ papa na hom hu amandze, na hom yɛ penkyɛr a, ɔno na ɔyɛ enyimnyam wɔ Nyankopɔn enyim.", ""
"1PE.2.21", "Na iyi na wɔfrɛɛ hom baa ho, osiandɛ Kraest so hun amandze maa hom, gyaa hom esusudo dɛ hom ndzi n’anamɔn ekyir.", ""
"1PE.2.22", "Ɔno na ɔannyɛ bɔn, na eso woennhu ndaadaa wɔ n’anomu.", "#Isa 53.9"
"1PE.2.23", "Ɔno, na wɔyaaw no naaso ɔannyaw bi; ohun amandze naaso ɔammbɔ empuw; mbom ɔdze n’asɛm hyɛɛ nyia obua atsɛn tsenenee no nsa.", "#Isa 53.7"
"1PE.2.24", "Ɔnarankasa na ɔsoaa hɛn bɔn wɔ no honam mu kɔr dua no do, dɛ sɛ yeewu ama ndzeyɛbɔn a, yaatsena ase ama tsenenee; ɔno na wɔdze ne mbaa ano etua asa hom yarba.", "#Isa 53.5, 6"
"1PE.2.25", "Na nkyɛ hom tse dɛ nguan a wɔayew, na afei hom asan aba hom akra hɔn Guanhwɛfo nye Hwɛdofo no nkyɛn.", ""
